0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:42 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:43 +0900] "GET /MySQLProject/Board/board_delete.jsp?idx=3&page=1 HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:43 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:45 +0900] "POST /MySQLProject/Board/board_delete_pro.jsp=1 HTTP/1.1" 404 950
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:59 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:59 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:59 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:31:59 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:00 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:00 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:00 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:00 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:00 +0900] "GET /MySQLProject/Board/board_view.jsp?idx=3&page=1 HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:00 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:01 +0900] "GET /MySQLProject/Board/board_delete.jsp?idx=3&page=1 HTTP/1.1" 200 1278
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:01 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:03 +0900] "POST /MySQLProject/Board/board_delete_pro.jsp?page=1 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:06 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:12 +0900] "POST /MySQLProject/Board/board_delete_pro.jsp?page=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:12 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:32:12 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:51:59 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:51:59 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:51:59 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:51:59 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:51:59 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:51:59 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:51:59 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:51:59 +0900] "GET /stylesheet.css HTTP/1.1" 404 915
0:0:0:0:0:0:0:1 - - [13/Jul/2021:14:52:00 +0900] "GET /MySQLProject/Board/board_list.jsp?page=1 HTTP/1.1" 200 4325
